name,wikipedia_id,food_group,food_subgroup
Horchata,Horchata,Beverages,Other beverages
Soft drink,Soft_drink,Beverages,Other beverages
Frozen yogurt,Frozen_yogurt,Confectioneries,Frozen desserts
Milkshake,Milkshake,Confectioneries,Frozen desserts
Chocolate mousse,Mousse,Confectioneries,Desserts
Dripping,Dripping,Fats and oils,Animal fats
Pupusa,Pupusa,Dishes,Latin American cuisine
Empanada,Empanada,Dishes,Latin American cuisine
Arepa,Arepa,Dishes,Latin American cuisine
Ascidians,Ascidiacea,Aquatic foods,Other aquatic foods
Gefilte fish,Gefilte_fish,Dishes,Jewish cuisine
Yellow pond-lily,Nuphar_lutea,Herbs and Spices,Herbs
Fish burger,Filet-O-Fish,Dishes,Sandwiches
Other dish,,Dishes,Other dishes
Pot pie,Pot_pie,Dishes,Other dishes
Stuffing,Stuffing,Baking goods,Baking goods
Edible shell,,Baking goods,Wrappers
Fudge,Fudge,Confectioneries,Candies
Candy bar,Chocolate_bar,Confectioneries,Candies
Condensed milk,Condensed_milk,Milk and milk products,Other milk products
Margarine,Margarine,Fats and oils,Vegetable fats
Margarine-like spread,,Fats and oils,Vegetable fats
Hummus,Hummus,Dishes,Levantine cuisine
Potato puffs,,Dishes,Potato dishes
Potato gratin,Gratin,Dishes,Potato dishes
Milk substitute,Milk_substitute,Baking goods,Substitutes
Pepper (C. pubescens),Capsicum_pubescens,Vegetables,Fruit vegetables
Soft-necked garlic,Garlic,Herbs and Spices,Herbs
Cabbage,Cabbage,Vegetables,Cabbages
Chinese bayberry,Myrica rubra,Fruits,Berries
Mushrooms,Mushrooms,Vegetables,Mushrooms
Alcoholic beverages,Alcoholic_beverages,Beverages,Alcoholic beverages
Onion-family vegetables,,Vegetables,Onion-family vegetables
Pomes,Pomes,Fruits,Pomes
Brassicas,Brassica,Vegetables,Brassicas
Cereals and cereal products,,Cereals and cereal products,Cereals and cereal products
Citrus,Citrus,Fruits,Citrus
Cocoa and cocoa products,,Cocoa and cocoa products,Cocoa and cocoa products
Coffee and coffee products,,Coffee and coffee products,Coffee and coffee products
Crustaceans,Crustaceans,Aquatic foods,Crustaceans
Milk and milk products,Dairy_product,Milk and milk products,Milk and milk products
Fats and oils,Fats_and_oils,Fats and oils,Fats and oils
Fishes,Fishes,Aquatic foods,Fishes
Herbs and Spices,,Herbs and Spices,Herbs and Spices
Pulses,Pulse_(legume),Pulses,Pulses
Animal foods,,Animal foods,Animal foods
Mollusks,Mollusks,Aquatic foods,Mollusks
Nuts,Nut_(fruit),Nuts,Nuts
Beverages,Beverages,Beverages,Beverages
Fruits,Fruits,Fruits,Fruits
Green vegetables,Green_vegetables,Vegetables,Green vegetables
Root vegetables,Root_vegetables,Vegetables,Root vegetables
Sunburst squash (pattypan squash),Pattypan squash,Gourds,Gourds
Green zucchini,Zucchini,Gourds,Gourds
Yellow zucchini,,Gourds,Gourds
Green bell pepper,Capsicum_annuum,Vegetables,Fruit vegetables
Yellow bell pepper,Capsicum_annuum,Vegetables,Fruit vegetables
Orange bell pepper,Capsicum_annuum,Vegetables,Fruit vegetables
Red bell pepper,Capsicum_annuum,Vegetables,Fruit vegetables
Italian sweet red pepper,Italian sweet pepper,Vegetables,Fruit vegetables
Yellow wax bean,Phaseolus_vulgaris,Pulses,Beans
Green bean,Phaseolus vulgaris,Pulses,Beans
Saskatoon berry,Amelanchier alnifolia,Fruits,Berries
Nanking cherry,Prunus tomentosa,Fruits,Berries
Japanese pumpkin,Kabocha,Gourds,Gourds
White cabbage,Cabbage,Vegetables,Cabbages
Romaine lettuce,Romaine lettuce,Vegetables,Leaf vegetables
"Cow milk, pasteurized, vitamin A + D added, 0% fat",Milk,Milk and milk products,Unfermented milks
"Cow milk, pasteurized, vitamin A + D added, 1% fat",Milk,Milk and milk products,Unfermented milks
"Cow milk, pasteurized, vitamin A + D added, 2% fat",Milk,Milk and milk products,Unfermented milks
"Cow milk, pasteurized, vitamin D added, 3.25% fat",Milk,Milk and milk products,Unfermented milks
